171660401A;Centro;PEIXE;TO;-12.035;-48.539;119.800
171830301A;Prefeitura_Municipal;PRAIA_NORTE;TO;-53.956;-478.114;229.000
171886501A;Prefeitura_Municipal;SANTA_FÉ_DO_ARAGUAIA;TO;-714.869;-4.869.083;134.400
172020001A;Centro_Cultural;SÃO_MIGUEL_DO_TOCANTINS;TO;-555.265;-4.757.758;368.000
210020401A;Centro;ALCÂNTARA;MA;-2.334.475;-44.420.116;356.200
210043601A;Centro;ALTO_ALEGRE_DO_MARANHÃO;MA;-420.157;-4.445.349;126.000
210047701A;Centro;ALTO_ALEGRE_DO_PINDARÉ;MA;-366.732;-4.584.769;360.400
210083201A;Centro;APICUM-AÇU;MA;-153.985;-4.507.942;418.000
210090701A;Centro;ARAIOSES;MA;-289.129;-4.190.393;150.000
210095601A;Prefeitura_Municipal;ARAME;MA;-488.694;-4.600.964;238.800
210100401A;Centro;ARARI;MA;-345.135;-4.477.961;435.800
210120201A;Centro;BACABAL;MA;-420.868;-4.478.937;232.000
210120202A;Areal;BACABAL;MA;-4.242.242;-44.814.174;351.600
210130101A;Prefeitura_Municipal;BACURI;MA;-172.816;-4.514.203;280.000
210140001A;Centro;BALSAS;MA;-753.341;-4.604.021;169.000
210177201A;Centro;BELA_VISTA_DO_MARANHÃO;MA;-3.742.019;-4.525.045;0
210180601A;Centro;BENEDITO_LEITE;MA;-722.492;-4.455.811;27.000
210197001A;Centro;BOA_VISTA_DO_GURUPI;MA;-178.906;-4.630.883;304.000
210220001A;Prefeitura_Municipal;BURITI;MA;-394.254;-4.292.467;269.800
210232501A;Prefeitura_Municipal;BURITICUPU;MA;-431.779;-4.645.999;275.000
210250701A;Prefeitura_Municipal;CAJARI;MA;-332.104;-4.501.025;0.000
210270501A;Hospital_Santa_Filomena;CANTANHEDE;MA;-363.431;-4.437.722;441.400
210300001A;Matadouro_Velho;CAXIAS;MA;-483.435;-4.333.886;299.000
210300002A;Centro;CAXIAS;MA;-485.817;-4.337.018;0
210300003A;SAAE;CAXIAS;MA;-488.365;-4.335.513;355.400
210315801A;Centro;CENTRO_DO_GUILHERME;MA;-244.894;-4.604.064;194.000
210330701A;Codó_Novo;CODÓ;MA;-447.495;-4.390.394;312.200
210330702A;São_Raimundo;CODÓ;MA;-445.003;-4.386.909;281.000
210340601A;Quiabos;COELHO_NETO;MA;-425.688;-43.027;266.200
210340602A;Centro;COELHO_NETO;MA;-4.251;-43.013;267.200
210350501A;Serrinha;COLINAS;MA;-603.192;-4.424.784;242.000
210355401A;Hospital_Municipal;CONCEIÇÃO_DO_LAGO-AÇU;MA;-38.467;-4.489.139;266.600
210360401A;Almoxarifado_Municipal;COROATÁ;MA;-413.594;-441.114;357.800
210390101A;Centro;DUQUE_BACELAR;MA;-415.547;-4.294.415;260.000
210400801A;Centro;ESPERANTINÓPOLIS;MA;-4.875.724;-4.488.177;328.800
